starred_at,login,id,node_id,url,followers_url,subscriptions_url,organizations_url,repos_url,type,site_admin
2020-04-11T18:01:04Z,jewryramos,63427777,MDQ6VXNlcjYzNDI3Nzc3,https://api.github.com/users/jewryramos,https://api.github.com/users/jewryramos/followers,https://api.github.com/users/jewryramos/subscriptions,https://api.github.com/users/jewryramos/orgs,https://api.github.com/users/jewryramos/repos,User,False
2020-04-13T15:00:28Z,Marco-Santoni,5029487,MDQ6VXNlcjUwMjk0ODc=,https://api.github.com/users/Marco-Santoni,https://api.github.com/users/Marco-Santoni/followers,https://api.github.com/users/Marco-Santoni/subscriptions,https://api.github.com/users/Marco-Santoni/orgs,https://api.github.com/users/Marco-Santoni/repos,User,False
2020-06-08T13:02:08Z,xidianzhuxi,40211659,MDQ6VXNlcjQwMjExNjU5,https://api.github.com/users/xidianzhuxi,https://api.github.com/users/xidianzhuxi/followers,https://api.github.com/users/xidianzhuxi/subscriptions,https://api.github.com/users/xidianzhuxi/orgs,https://api.github.com/users/xidianzhuxi/repos,User,False
2020-06-08T22:17:00Z,openbsod,19532554,MDQ6VXNlcjE5NTMyNTU0,https://api.github.com/users/openbsod,https://api.github.com/users/openbsod/followers,https://api.github.com/users/openbsod/subscriptions,https://api.github.com/users/openbsod/orgs,https://api.github.com/users/openbsod/repos,User,False
2020-06-11T10:30:05Z,mheriyanto,22278148,MDQ6VXNlcjIyMjc4MTQ4,https://api.github.com/users/mheriyanto,https://api.github.com/users/mheriyanto/followers,https://api.github.com/users/mheriyanto/subscriptions,https://api.github.com/users/mheriyanto/orgs,https://api.github.com/users/mheriyanto/repos,User,False
2020-06-17T19:30:37Z,kowalcma,24374196,MDQ6VXNlcjI0Mzc0MTk2,https://api.github.com/users/kowalcma,https://api.github.com/users/kowalcma/followers,https://api.github.com/users/kowalcma/subscriptions,https://api.github.com/users/kowalcma/orgs,https://api.github.com/users/kowalcma/repos,User,False
2020-06-26T17:19:59Z,fjxp2020,66839190,MDQ6VXNlcjY2ODM5MTkw,https://api.github.com/users/fjxp2020,https://api.github.com/users/fjxp2020/followers,https://api.github.com/users/fjxp2020/subscriptions,https://api.github.com/users/fjxp2020/orgs,https://api.github.com/users/fjxp2020/repos,User,False
2020-07-14T22:12:56Z,demusis,2022825,MDQ6VXNlcjIwMjI4MjU=,https://api.github.com/users/demusis,https://api.github.com/users/demusis/followers,https://api.github.com/users/demusis/subscriptions,https://api.github.com/users/demusis/orgs,https://api.github.com/users/demusis/repos,User,False
2020-08-01T20:55:33Z,yuvilio,128731,MDQ6VXNlcjEyODczMQ==,https://api.github.com/users/yuvilio,https://api.github.com/users/yuvilio/followers,https://api.github.com/users/yuvilio/subscriptions,https://api.github.com/users/yuvilio/orgs,https://api.github.com/users/yuvilio/repos,User,False
2020-08-04T15:33:30Z,donaldmak888,67196907,MDQ6VXNlcjY3MTk2OTA3,https://api.github.com/users/donaldmak888,https://api.github.com/users/donaldmak888/followers,https://api.github.com/users/donaldmak888/subscriptions,https://api.github.com/users/donaldmak888/orgs,https://api.github.com/users/donaldmak888/repos,User,False
